"ITTER107","Territorio","TIPO_DATO7","Indicatore","CORREZ","Correzione","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-05","Mag-2006",138.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-06","Giu-2006",134.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-07","Lug-2006",141.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-08","Ago-2006",68.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-09","Set-2006",138.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-10","Ott-2006",142.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-11","Nov-2006",135.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2006-12","Dic-2006",118.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-01","Gen-2007",119.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-02","Feb-2007",132.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-03","Mar-2007",144.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-04","Apr-2007",127.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-05","Mag-2007",141.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-06","Giu-2007",136.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-07","Lug-2007",145.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-08","Ago-2007",72.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-09","Set-2007",142.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-10","Ott-2007",144.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-11","Nov-2007",135.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2007-12","Dic-2007",110.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-01","Gen-2008",122.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-02","Feb-2008",133.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-03","Mar-2008",145.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-04","Apr-2008",131.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-05","Mag-2008",138.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-06","Giu-2008",136.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-07","Lug-2008",141.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-08","Ago-2008",66.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-09","Set-2008",132.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-10","Ott-2008",133.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-11","Nov-2008",122.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2008-12","Dic-2008",94.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-01","Gen-2009",97.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-02","Feb-2009",102.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-03","Mar-2009",106.4,,
